num,smiles,energy,predicted_energy
1,CN(C)C,3.482889,9.791741371154785
2,C1CCNC1,2.415628,5.526215553283691
3,C[N+](C)(C)[O-],0.5774312,10.312735557556152
4,CC(C(=O)O)N,5.794648,7.107992649078369
5,CNCC(=O)O,6.763821,9.777908325195312
6,C1=CC(=O)NC=C1,8.429222,5.763383865356445
7,C1=CC(=CN=C1)O,6.116403,7.881047248840332
8,C1CCN(C1)N=O,3.338057,7.065000534057617
9,CCCCC(=O)O,-1.377568,3.2121710777282715
10,C(CC(=O)O)CN,5.187356,7.067631721496582
11,CN(C)CC(=O)O,6.262756,11.941590309143066
12,C(C(=O)O)C(=O)O,6.112192,8.424107551574707
13,CC(C)(C(=O)O)O,2.746852,7.278375625610352
14,C[N+](C)(C)CCO,16.65412,13.575456619262695
15,C(C(C(=O)O)N)O,7.963014,9.644944190979004
16,C(C(C(=O)O)O)O,8.876786,10.30873966217041
17,CC1=CC=C(C=C1)O,0.1493156,1.431706428527832
18,C(CS(=O)O)N,7.9515,7.4057769775390625
19,C1=CC=C(C(=C1)O)O,2.572151,5.323230743408203
20,C1=CC(=CC=C1O)O,3.657811,5.654069900512695
21,C1=C(NC(=O)N=C1)N,13.78461,10.63214111328125
22,C1=C(NC=N1)CCN,8.947242,10.667551040649414
23,C1CC(NC1)C(=O)O,5.136201,7.878762245178223
25,C(=CC(=O)O)C(=O)O,7.279622,7.7812042236328125
26,C(CC(=O)[O-])C(=O)[O-],24.75438,7.7812042236328125
27,CCC(CC)C(=O)O,0.5482145,2.4541802406311035
28,C(C(=O)O)N=C(N)N,8.192497,11.204367637634277
29,C1=CC=C2C(=C1)C=CN2,4.444177,2.2318639755249023
30,C(CCN)CC(=O)O,4.886794,6.379418849945068
31,C(C(=O)O)(C(=O)O)N,11.41597,10.264339447021484
32,C(CO)C(C(=O)O)N,11.44261,9.447175025939941
33,CC(C(C(=O)O)N)O,8.814822,9.74373722076416
34,C1=C2C(=NC=N1)N=CN2,13.7466,14.079745292663574
35,C1=CC=C(C=C1)CC=O,6.086147,0.5229034423828125
36,C1=CC(=CC=C1C=O)O,6.894022,4.567405700683594
37,C(C(C(CO)O)O)O,10.41118,12.201534271240234
38,C1=CC(=CN=C1)C(=O)O,10.21981,7.865766525268555
39,CC1=CC(=C(C=C1)O)O,4.481809,4.636694431304932
40,C(CS(=O)(=O)O)N,10.03021,7.873086929321289
41,CC1=C(NC(=O)N=C1)N,14.03797,9.823162078857422
42,C1=C(C=C(C=C1O)O)O,2.221457,9.226075172424316
43,C1=CC(=C(C(=C1)O)O)O,5.842005,8.409564018249512
44,C1=C(NC=N1)CC(=O)O,9.069784,11.407333374023438
45,CC1=CNC(=O)NC1=O,7.912806,9.744278907775879
46,C1CCNC(C1)C(=O)O,5.812083,7.200220108032227
47,C=C(CC(=O)O)C(=O)O,5.628878,7.031088829040527
48,CC(C)CC(C(=O)O)N,2.486296,4.848887920379639
